Day,Shift_U
10/30/2015,-3.096187
10/31/2015,-3.5556212
11/1/2015,-2.1573432
11/2/2015,-6.4420665
11/3/2015,-3.8053137
11/4/2015,-8.2498402
11/5/2015,-4.0450185
11/6/2015,-2.4769496
11/7/2015,-7.0712916
11/8/2015,-9.1387455
11/9/2015,-8.4795573
11/10/2015,-2.9663469
11/11/2015,-0.3495695
11/12/2015,-10.1475032
11/13/2015,-6.1723986
11/14/2015,-8.0600739
11/15/2015,-7.2011317
11/16/2015,-5.2535302
11/17/2015,-4.294711
11/18/2015,-5.093727
11/19/2015,-2.6667159
11/20/2015,-4.1448955
11/21/2015,-6.5119804
11/22/2015,-6.1024847
11/23/2015,-6.1524232
11/24/2015,-6.9314638
11/25/2015,-5.6330628
11/26/2015,-5.2035917
11/27/2015,-6.1124724
11/28/2015,-6.5519312
11/29/2015,-4.5843543
11/30/2015,-5.2135794
12/1/2015,-6.8215991
12/2/2015,-4.4145634
12/3/2015,3.5356458
12/4/2015,6.691759
12/5/2015,-6.0625339
12/6/2015,-6.9714146
12/7/2015,-4.1648709
12/8/2015,-3.2060517
12/9/2015,-4.7042067
12/10/2015,-5.3434195
12/11/2015,-7.8503322
12/12/2015,-5.9127184
12/13/2015,-8.4695696
12/14/2015,-7.1611809
12/15/2015,-7.690529
12/27/2015,-9.9177861
12/28/2015,-9.4383765
12/29/2015,-9.9777123
12/30/2015,-3.795326
12/31/2015,-2.7466175
1/1/2016,-5.9326938
1/2/2016,-1.298401
1/3/2016,-6.1324478
1/4/2016,-9.6281428
1/5/2016,-9.5682166
1/6/2016,-8.2997787
1/7/2016,-6.1424355
1/8/2016,-9.8478722
1/9/2016,-8.6493482
1/10/2016,-10.9764823
1/11/2016,-10.786716
1/12/2016,-10.8965807
1/13/2016,-9.8778353
1/14/2016,-8.5794343
1/15/2016,-8.2198771
1/16/2016,-9.8778353
1/17/2016,-7.0113654
1/18/2016,-9.1587209
1/19/2016,-11.4459042
1/20/2016,-12.6344405
1/21/2016,-8.189914
1/22/2016,-11.1662486
1/23/2016,-12.0551539
1/24/2016,-7.5806643
1/25/2016,-13.8729153
1/26/2016,-9.5482412
1/27/2016,-13.8629276
1/28/2016,-9.4283888
1/29/2016,-10.0576139
1/30/2016,-11.9153261
1/31/2016,-11.4159411
2/1/2016,-11.3660026
2/2/2016,-14.3523249
2/3/2016,-13.4634196
2/4/2016,-11.9253138
2/5/2016,-11.4958427
2/6/2016,-14.8916607
2/7/2016,-19.176384
2/8/2016,-14.4422142
2/9/2016,-12.0152031
2/10/2016,-10.9365315
2/11/2016,-11.4059534
2/12/2016,-13.1338255
2/13/2016,-13.083887
2/14/2016,-12.3148341
2/15/2016,-11.2960887
2/16/2016,-13.8229768
2/17/2016,-12.6544159
2/18/2016,-16.3498649
2/19/2016,-14.4522019
2/20/2016,-14.2524479
2/21/2016,-13.2137271
2/22/2016,-13.9628046
2/23/2016,-14.4122511
2/24/2016,-13.1737763
2/25/2016,-16.3298895
2/26/2016,-12.6244528
2/27/2016,-12.3547849
2/28/2016,-11.6256828
2/29/2016,-16.1201478
3/1/2016,-13.9628046
3/2/2016,-12.2948587
3/3/2016,-16.2499879
3/4/2016,-17.7681183
3/5/2016,-18.0477739
3/6/2016,-17.178844
3/7/2016,-9.8478722
3/8/2016,-13.0639116
3/9/2016,-16.7194098
3/10/2016,-16.0901847
3/11/2016,-13.0439362
3/12/2016,-16.8292745
3/13/2016,-12.5046004
3/14/2016,-17.2088071
3/15/2016,-14.082657
3/16/2016,-15.7605906
3/17/2016,-17.2287825
3/18/2016,-17.4584996
3/19/2016,-18.4372942
3/20/2016,-14.3423372
3/21/2016,-13.4933827
3/22/2016,-15.0314885
3/23/2016,-15.9104061
3/24/2016,-17.9279215
3/25/2016,-12.2648956
3/26/2016,-17.1488809
3/27/2016,-6.7616729
3/28/2016,-15.3411072
3/29/2016,-15.0714393
3/30/2016,-17.3186718
3/31/2016,-17.5384012
4/1/2016,-19.6358182
4/2/2016,-18.2874787
4/3/2016,-17.4684873
4/4/2016,-19.2063471
4/5/2016,-17.6282905
4/6/2016,-22.6221405
4/7/2016,-13.3535549
4/8/2016,-18.97663
4/9/2016,-17.4684873
4/10/2016,-13.0439362
4/11/2016,-21.0241085
4/12/2016,-20.3049941
4/13/2016,-16.0901847
4/14/2016,-12.98401
4/15/2016,-19.775646
4/16/2016,-20.7045021
4/17/2016,-18.676999
4/18/2016,-18.3074541
4/19/2016,-21.7032721
4/20/2016,-18.9866177
4/21/2016,-16.379828
4/22/2016,-17.5883397
4/23/2016,-21.8530876
4/24/2016,-23.7107998
4/25/2016,-18.4872327
4/26/2016,-19.1464209
4/27/2016,-16.5196558
4/28/2016,-20.5846497
4/29/2016,-17.7281675
4/30/2016,-23.5909474
5/1/2016,-18.0877247
5/2/2016,-26.6471836
5/3/2016,-16.6195328
5/4/2016,-18.577122
5/5/2016,-21.1439609
5/6/2016,-20.0453139
5/7/2016,-21.8530876
5/8/2016,-23.6808367
5/9/2016,-21.8231245
5/10/2016,-18.2375402
5/11/2016,-24.5497666
5/12/2016,-24.0403939
5/13/2016,-27.566052
5/14/2016,-23.471095
5/15/2016,-23.5110458
5/16/2016,-22.1027801
5/17/2016,-16.7593606
5/18/2016,-23.2813287
5/19/2016,-21.1938994
