# x, y    : 1772, 697
# lat, lon: 36.54500, 59.17055
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: 2.123*t+1.370
20150220    0.00
20150304   -3.38
20150328   -2.64
20150421   -6.12
20150515   -1.44
20150702    1.70
20150726    2.75
20150819    0.51
20151030    4.75
20151123    3.28
20151217    1.95
20160110    1.52
20160203    0.42
20160227   -2.04
20160322   -3.75
20160415    4.60
20160509    1.63
20160602    5.88
20160720    7.06
20160813    9.52
20160906    8.42
20160930   11.32
20161024    9.43
20161117   10.34
20161211   10.32
20170104   10.90
20170128    9.32
20170209    7.71
20170221    4.85
20170305    4.58
20170317    2.10
20170329    2.45
20170410    1.09
20170422    1.65
20170504    5.66
20170516    1.40
20170528    4.56
20170609    6.46
20170703    7.46
20170715    9.27
20170727    8.67
20170808    8.62
20170820    7.49
20170901    8.44
20170913    8.05
20170925    7.38
20171007    7.85
20171019    8.00
20171031    8.22
20171112    7.74
20171124    8.82
20171206    9.43
20171218   11.33
20171230    9.97
20180111   11.20
20180123    9.80
20180204    9.42
20180216    9.31
20180228   12.28
20180312    7.80
20180324    8.20
20180405    6.79
20180417    7.65
20180429    4.34
20180511    5.00
20180523    7.53
20180604    6.74
20180616    8.78
20180628    8.78
20180710    7.96
20180722    5.68
20180803    8.93
20180815    5.98
20180827    7.10
20180908    7.98
20181002    7.31
20181014    8.33
20181026   12.35
20181107    7.94
20181119    7.37
20181201    7.58
20181213    6.66
20181225    9.55
20190106    8.82
20190118    7.46
20190130    8.77
20190211    5.53
20190223    9.23
20190307    6.82
20190331   12.84
20190412   18.39
20190424    7.24
20190506   11.92
20190518   16.08
20190530   14.27
20190611   11.16
20190623    9.25
20190705   10.62
20190717   12.97
20190729   15.40
20190810   14.66
20190822   12.36
20190903   13.52
20190915   16.28
20190927   13.46
20191009   14.72
20191021   14.35
20191102   10.99
20191114   13.48
20191126   13.30
20191208   14.68
20191220   11.85
20200101   12.83
20200125   11.40
20200206   10.19
20200218   13.18
20200301   12.87
20200313   11.03
20200406   13.27
20200418   14.19
20200430    6.95
20200512    9.85
20200524    4.25
20200605    8.95
20200617    8.77
20200629    8.46
20200723   10.13
20200804   10.28
20200816    6.44
20200828    2.83
20200909    5.91
20200921    9.24
20201003    8.70
20201015   10.01
20201027   10.08
20201108    9.74
20201120   11.59
20201202   13.39
20201214   12.70
20210107   13.66
20210119   14.62
20210131   16.19
20210212   15.00
20210224   17.61
20210308   18.79
20210320   18.25
20210413   17.89
20210425   16.01
20210507   16.62
20210519   16.03
20210531   12.20
20210612   14.72
20210624   13.85
20210706   11.43
20210718   13.52
20210730   16.54
20210811   16.48
20210823   16.31
20210904   18.21
20210916   14.58
20210928   12.08
20211010   16.12
20211022   17.04
20211103   17.26
20211115   17.46
20211127   17.66
20211209   16.56
20211221   16.54
20220102   21.32
20220114   17.64
20220126   14.11
20220207   16.35
20220219   14.82
20220303   16.64
20220315   17.75
20220327   15.31
20220408   13.38
20220420   19.04
20220502   15.43
20220514   18.42
20220526   18.15
20220607   16.35
20220619   12.75
20220701   21.89
20220713   23.13
20220725   25.79
20220806   24.49
20220818   25.62
20220830   25.32
20220911   24.28
20220923   25.40
20221005   24.91
20221029   23.01
20221110   26.30
20221122   22.86
20221204   22.80
20221216   22.20
20221228   21.31
20230109   22.98
20230121   20.71
20230202   17.03
20230226   16.71
20230310   23.10
20230322   16.05
20230403   15.32
20230415   10.72
20230427   10.81
20230509   14.71
20230521   10.30
20230602    8.30
20230614    7.05
20230626   10.55
20230708    8.47
20230720   10.60
20230801   15.43
20230813   18.03
20230825   17.73
20230906   17.79
20230918   20.27
20230930   20.06
20231012   23.58
20231024   18.73
20231105   21.73
20231117   17.10
20231129   20.48
20231211   19.99
20231223   20.28
20240104   19.68
20240116   20.59
20240209   17.94
20240221   19.66
