# x, y    : 1772, 675
# lat, lon: 36.56700, 59.17055
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: 1.952*t-0.108
20150220    0.00
20150304   -5.59
20150328   -5.50
20150421   -5.37
20150515   -7.26
20150702    4.76
20150726    2.17
20150819   -0.46
20151030    1.87
20151123    1.04
20151217    0.62
20160110   -0.48
20160203   -0.50
20160227   -0.25
20160322   -4.70
20160415    2.78
20160509   -0.26
20160602    1.96
20160720    0.81
20160813    0.62
20160906    7.09
20160930    5.86
20161024    6.92
20161117    7.92
20161211    6.10
20170104    7.79
20170128    5.59
20170209    5.17
20170221    3.45
20170305    1.24
20170317   -2.18
20170329   -1.17
20170410    0.96
20170422    0.37
20170504   -1.68
20170516    5.50
20170528    1.79
20170609    3.16
20170703    5.50
20170715    5.34
20170727    4.85
20170808    6.06
20170820    6.55
20170901    8.61
20170913    7.39
20170925    6.67
20171007    6.37
20171019    6.53
20171031    6.77
20171112    7.62
20171124    8.46
20171206    7.91
20171218    9.04
20171230    7.44
20180111   11.12
20180123    8.51
20180204    8.24
20180216    7.59
20180228   10.26
20180312    6.33
20180324    5.63
20180405    6.47
20180417    5.79
20180429    0.93
20180511    6.03
20180523    6.57
20180604    7.08
20180616    8.04
20180628    7.20
20180710    7.05
20180722   11.34
20180803    5.44
20180815    4.71
20180827    7.27
20180908    8.38
20181002    6.04
20181014    6.41
20181026    3.32
20181107    5.15
20181119    5.07
20181201    5.13
20181213    5.30
20181225    5.55
20190106    2.90
20190118    5.87
20190130    6.29
20190211    4.14
20190223    9.34
20190307    7.62
20190331   12.93
20190412   16.78
20190424    8.51
20190506    9.99
20190518   12.39
20190530   10.09
20190611    9.53
20190623    8.77
20190705    8.29
20190717    9.28
20190729   12.45
20190810   13.01
20190822   14.79
20190903   11.72
20190915   16.08
20190927   12.58
20191009   13.81
20191021   11.64
20191102   10.50
20191114   11.43
20191126    9.91
20191208   12.77
20191220    9.76
20200101   10.16
20200125   10.03
20200206   11.06
20200218   12.36
20200301   11.97
20200313   11.03
20200406   11.95
20200418   12.42
20200430   10.47
20200512    7.67
20200524    6.26
20200605    6.41
20200617    7.11
20200629    6.17
20200723    0.99
20200804   -1.88
20200816    1.21
20200828    0.89
20200909    2.16
20200921    5.40
20201003    5.26
20201015    6.14
20201027    7.41
20201108    5.50
20201120    9.48
20201202   10.04
20201214   10.40
20210107   11.78
20210119   13.41
20210131   13.33
20210212   14.07
20210224   14.40
20210308   15.20
20210320   13.82
20210413   14.19
20210425   13.11
20210507   16.82
20210519   11.35
20210531    2.44
20210612    8.37
20210624    8.38
20210706    8.31
20210718   11.28
20210730    9.09
20210811   13.57
20210823   12.19
20210904   15.44
20210916   13.18
20210928   11.88
20211010   14.70
20211022   14.94
20211103   13.04
20211115   15.20
20211127   14.85
20211209   14.50
20211221   13.65
20220102   15.08
20220114   15.74
20220126   12.31
20220207   15.75
20220219   14.76
20220303   10.94
20220315   18.34
20220327   14.02
20220408   14.14
20220420   13.93
20220502   15.55
20220514   16.00
20220526   14.10
20220607   17.54
20220619   15.39
20220701   18.00
20220713   19.80
20220725   20.99
20220806   21.95
20220818   21.61
20220830   23.98
20220911   22.37
20220923   20.85
20221005   21.51
20221029   20.94
20221110   21.96
20221122   22.69
20221204   19.43
20221216   18.99
20221228   18.53
20230109   16.52
20230121   17.08
20230202   14.08
20230226   12.75
20230310   13.96
20230322   11.61
20230403   12.07
20230415   10.37
20230427    9.18
20230509    9.86
20230521    5.88
20230602    6.75
20230614    4.78
20230626    8.19
20230708    7.47
20230720    7.03
20230801   13.60
20230813   14.65
20230825   16.35
20230906   16.24
20230918   17.82
20230930   16.93
20231012   15.83
20231024   16.18
20231105   18.56
20231117   17.75
20231129   16.47
20231211   18.17
20231223   17.74
20240104   17.31
20240116   16.77
20240209   15.96
20240221   16.51
