# x, y    : 1732, 703
# lat, lon: 36.53900, 59.13055
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: 1.953*t+3.739
20150220    0.00
20150304   -1.61
20150328   -0.42
20150421   -1.32
20150515    3.77
20150702    4.93
20150726    6.09
20150819    4.73
20151030    5.50
20151123    4.04
20151217    3.40
20160110    1.86
20160203    3.64
20160227    1.55
20160322   -2.31
20160415   -0.21
20160509    1.97
20160602    6.02
20160720    7.26
20160813    8.77
20160906    9.98
20160930   11.84
20161024   11.38
20161117    9.45
20161211   11.62
20170104   12.94
20170128   10.18
20170209   11.36
20170221   11.39
20170305    7.46
20170317    8.29
20170329    8.31
20170410    7.49
20170422    5.45
20170504    9.08
20170516   -1.68
20170528    3.41
20170609    5.61
20170703    9.37
20170715    9.16
20170727   10.01
20170808   11.57
20170820   11.16
20170901    9.86
20170913    8.79
20170925    9.55
20171007    8.28
20171019    9.59
20171031    8.79
20171112   10.77
20171124    9.99
20171206   10.07
20171218    9.86
20171230   11.23
20180111    9.04
20180123    9.52
20180204   11.43
20180216   10.37
20180228   13.09
20180312    8.52
20180324    9.12
20180405    7.73
20180417    9.85
20180429    5.03
20180511   10.85
20180523    9.79
20180604   12.56
20180616    9.13
20180628   10.20
20180710   11.11
20180722   11.85
20180803   11.31
20180815    9.96
20180827    9.39
20180908   11.28
20181002   10.10
20181014   10.71
20181026   13.06
20181107    9.84
20181119   10.07
20181201    9.88
20181213    9.87
20181225   10.26
20190106   10.19
20190118    8.99
20190130   10.82
20190211    8.72
20190223   13.38
20190307   11.37
20190331   17.02
20190412   18.77
20190424   11.05
20190506   16.41
20190518   17.24
20190530   15.87
20190611   12.71
20190623   13.23
20190705   11.98
20190717   13.20
20190729   13.11
20190810   15.80
20190822   16.38
20190903   15.63
20190915   17.75
20190927   16.36
20191009   17.09
20191021   15.19
20191102   16.82
20191114   15.36
20191126   15.52
20191208   16.98
20191220   15.21
20200101   14.69
20200125   16.64
20200206   14.77
20200218   17.08
20200301   18.66
20200313   16.64
20200406   16.69
20200418   14.82
20200430    8.36
20200512    8.60
20200524    8.77
20200605    7.78
20200617    9.50
20200629    9.13
20200723    2.86
20200804    1.04
20200816    5.24
20200828    4.87
20200909    7.24
20200921    9.93
20201003    8.62
20201015   10.49
20201027   11.36
20201108   12.69
20201120   13.39
20201202   14.35
20201214   15.08
20210107   15.91
20210119   16.57
20210131   18.14
20210212   20.68
20210224   19.69
20210308   20.49
20210320   19.20
20210413   19.16
20210425   18.13
20210507   25.26
20210519   15.86
20210531   17.88
20210612   13.46
20210624   13.79
20210706   11.30
20210718   13.48
20210730    9.82
20210811   14.34
20210823   13.32
20210904   16.58
20210916   15.09
20210928   17.84
20211010   16.63
20211022   16.86
20211103   16.46
20211115   17.51
20211127   16.99
20211209   18.18
20211221   13.97
20220102   15.99
20220114   18.68
20220126   17.16
20220207   19.78
20220219   18.21
20220303   15.10
20220315   20.62
20220327   18.71
20220408   20.06
20220420   21.48
20220502   19.06
20220514   22.51
20220526   20.96
20220607   21.91
20220619   26.35
20220701   24.27
20220713   24.39
20220725   25.88
20220806   26.28
20220818   25.29
20220830   27.49
20220911   26.07
20220923   26.04
20221005   25.89
20221029   24.64
20221110   25.25
20221122   24.28
20221204   23.88
20221216   23.32
20221228   22.54
20230109   23.01
20230121   22.54
20230202   24.25
20230226   17.37
20230310   17.70
20230322   15.06
20230403   14.14
20230415   15.27
20230427   11.99
20230509   12.54
20230521    8.95
20230602    7.29
20230614    6.77
20230626    9.88
20230708    8.78
20230720   10.07
20230801   15.20
20230813   17.58
20230825   16.54
20230906   17.17
20230918   19.44
20230930   19.95
20231012   17.17
20231024   19.28
20231105   21.70
20231117   18.72
20231129   19.03
20231211   20.56
20231223   23.81
20240104   22.61
20240116   23.41
20240209   22.88
20240221   21.79
