# x, y    : 1799, 669
# lat, lon: 36.57300, 59.19755
# ref     : 1591:1592/1610:1611
# refgeo  : 58.98955/58.98955/35.63200/35.63200
# deramp, filtwidth_km, filtwidth_yr : b'1', 2.0, 0.117
# hgt_linear_flag : 1
# gap     : 20220514_20220526 
# linear model: 2.030*t+2.116
20150220    0.00
20150304   -3.86
20150328   -3.40
20150421   -0.74
20150515   -2.55
20150702    1.37
20150726    6.17
20150819    3.65
20151030    5.61
20151123    5.10
20151217    3.95
20160110    2.12
20160203    3.35
20160227    1.40
20160322   -2.24
20160415    2.99
20160509    4.03
20160602    7.10
20160720    5.62
20160813    5.99
20160906    8.83
20160930    9.38
20161024    9.33
20161117    9.41
20161211    8.57
20170104   10.31
20170128    8.24
20170209    8.40
20170221    5.98
20170305    4.15
20170317   -0.51
20170329    1.41
20170410    0.43
20170422   -0.15
20170504   -0.34
20170516    2.33
20170528    3.54
20170609    4.81
20170703    6.24
20170715    8.17
20170727    8.57
20170808   10.41
20170820    9.93
20170901   10.52
20170913    7.34
20170925    9.55
20171007   10.12
20171019    9.38
20171031    9.53
20171112    9.78
20171124   10.55
20171206    9.79
20171218   10.55
20171230   10.11
20180111    8.97
20180123    8.97
20180204    9.84
20180216    9.36
20180228   12.83
20180312    7.34
20180324    8.20
20180405    9.12
20180417    9.88
20180429    2.60
20180511   11.03
20180523    9.88
20180604   10.38
20180616   11.01
20180628   12.26
20180710   11.57
20180722   17.90
20180803   10.25
20180815    9.41
20180827   13.32
20180908   12.21
20181002    9.22
20181014    9.39
20181026    5.90
20181107    8.44
20181119    7.57
20181201    7.90
20181213    6.98
20181225    7.22
20190106    7.55
20190118    7.52
20190130    8.57
20190211    5.63
20190223    9.52
20190307    7.69
20190331   13.18
20190412   18.28
20190424   10.33
20190506   11.57
20190518   16.93
20190530   22.80
20190611   12.40
20190623   11.73
20190705   13.26
20190717   11.41
20190729   15.60
20190810   15.91
20190822   16.41
20190903   12.72
20190915   17.52
20190927   15.74
20191009   13.92
20191021   13.75
20191102   14.37
20191114   12.79
20191126   12.79
20191208   14.86
20191220   11.70
20200101   11.87
20200125   12.93
20200206   11.52
20200218   13.94
20200301   13.88
20200313   12.64
20200406   12.98
20200418   14.33
20200430    6.92
20200512    7.80
20200524    6.44
20200605    9.21
20200617    7.03
20200629    7.57
20200723    0.36
20200804    0.66
20200816    3.30
20200828    2.72
20200909    6.02
20200921    5.91
20201003    6.94
20201015    8.30
20201027    9.18
20201108    8.06
20201120   11.42
20201202   12.65
20201214   12.15
20210107   14.39
20210119   13.74
20210131   15.90
20210212   15.29
20210224   16.69
20210308   16.86
20210320   16.44
20210413   16.62
20210425   15.39
20210507   21.80
20210519   17.13
20210531    9.80
20210612   10.41
20210624   11.75
20210706   10.91
20210718   13.35
20210730   15.63
20210811   16.13
20210823   15.50
20210904   19.36
20210916   16.47
20210928   17.13
20211010   17.29
20211022   20.43
20211103   17.42
20211115   18.22
20211127   17.28
20211209   16.97
20211221   17.50
20220102   21.36
20220114   21.23
20220126   15.50
20220207   16.73
20220219   14.96
20220303   16.14
20220315   20.21
20220327   16.00
20220408   14.64
20220420   18.72
20220502   14.73
20220514   17.65
20220526   19.15
20220607   18.62
20220619   12.02
20220701   21.12
20220713   22.40
20220725   24.76
20220806   22.08
20220818   23.42
20220830   26.35
20220911   23.13
20220923   25.68
20221005   24.81
20221029   22.33
20221110   23.92
20221122   23.25
20221204   22.72
20221216   21.68
20221228   20.23
20230109   20.73
20230121   19.68
20230202   18.78
20230226   12.18
20230310   12.72
20230322   14.02
20230403   15.02
20230415   12.10
20230427   10.84
20230509   12.59
20230521   10.26
20230602    9.48
20230614   11.01
20230626   12.35
20230708   11.26
20230720   13.64
20230801   17.57
20230813   18.80
20230825   18.59
20230906   20.03
20230918   21.07
20230930   20.33
20231012   20.40
20231024   22.27
20231105   21.77
20231117   19.72
20231129   20.30
20231211   19.71
20231223   21.16
20240104   21.81
20240116   21.45
20240209   19.67
20240221   20.66
